ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
,2.0489E+15,2.07913E+16,7.30021E+15,3.68516E+16,5.64309E+15,103797830780847,869909704615088,2.96314E+16,0
371608007538699,1.29423E+16,1.86301E+16,6635245883862,,5.92885E+15,1.518E+16,5.63291E+15,4.50066E+15,0
8.09912E+15,2.24236E+16,1.99095E+16,9.27588E+15,,4.18606E+15,1.68686E+16,6.64201E+15,3.05593E+16,0
8.31677E+15,2.14373E+16,2.20184E+16,805933237743854,3.56886E+16,3.63267E+15,1.84365E+16,1.00342E+16,4.62877E+15,0
9.09222E+15,1.81102E+16,1.7979E+15,6.5466E+15,3.10136E+16,3.98411E+16,1.15583E+16,3.1998E+16,4.07508E+15,0
5.58409E+15,1.88313E+15,2.87487E+15,754486878877965,3.26678E+15,2.80468E+15,8.39973E+15,5.49179E+16,2.55971E+16,0
1.02239E+16,2.48072E+16,2.87497E+16,7.51341E+16,3.93663E+16,2.83652E+15,1.37897E+16,8.46036E+15,2.67299E+15,0
8.63585E+15,2.03362E+16,1.36721E+16,4.56301E+15,3.0331E+15,4.74608E+16,1.23638E+15,6.27983E+16,4.40142E+15,0
,1.18989E+16,1.42856E+16,7.80417E+15,268646940746221,3.89376E+15,1.2706E+15,5.39288E+16,3.59502E+16,0
1.11803E+16,2.27231E+16,2.54845E+15,9.0772E+15,4.04042E+16,5.63885E+15,1.79278E+15,7.19766E+15,4.37056E+15,0
7.36064E+15,1.65521E+16,3.24526E+16,7.5507E+15,3.26624E+16,4.25383E+16,1.55868E+16,7.874E+15,3.66229E+16,0
7.97452E+15,2.18693E+16,1.87677E+15,8.11038E+15,,3.64098E+16,1.45257E+16,7.64859E+15,4.01172E+15,0
7.11982E+15,1.56705E+16,1.87308E+16,3.60604E+16,2.82344E+15,3.47715E+16,1.59295E+16,795007783369744,3.44576E+15,0
,1.50175E+15,2.73314E+16,6.83822E+15,2.99416E+16,3.79762E+16,1.93708E+16,765099955279583,4.41397E+15,0
749623220797336,2.05345E+16,2.8388E+15,5.07256E+15,,4.44645E+15,1.32283E+16,7.03002E+15,4.77738E+15,0
6.34727E+15,1.86733E+16,4.10652E+15,9.6296E+15,3.64488E+15,516743281893657,1.15398E+16,7.50716E+15,4.37635E+15,0
7.05179E+15,2.11049E+16,3.09806E+16,1.00948E+16,,3.15141E+15,2.0397E+15,5.66516E+15,4.26843E+15,0
9.18156E+15,2.73814E+16,2.40413E+15,6.90499E+15,3.98351E+15,4.77975E+15,1.33873E+16,714573622129516,4.50366E+15,0
8.97546E+15,2.79357E+16,1.94604E+16,6.20432E+15,,4.31444E+16,1.28888E+15,6.38212E+15,2.43609E+16,0
7.37105E+15,2.14497E+16,2.56303E+16,4.43267E+15,3.35754E+16,4.69915E+16,1.25092E+16,6.27973E+15,2.5603E+16,0
,2.27435E+16,2.23056E+15,1.03339E+16,,5.5482E+15,1.63317E+15,4.53828E+16,413342264357917,0
6.66021E+15,1.68284E+16,3.09444E+16,5.85877E+15,3.10931E+16,5.23671E+15,1.78842E+15,770423180517003,3.7497E+16,0
,2.15978E+16,1.71072E+16,5.60706E+15,326943977743867,4.36256E+16,1.41891E+16,5.98555E+15,5.45925E+15,0
3.90248E+15,1.96903E+15,2.11675E+16,6.99631E+15,,4.44479E+16,1.6609E+16,901816758847452,4.52852E+15,0
5.4003E+15,1.40739E+16,1.72666E+16,1.00569E+16,3.28358E+15,4.72874E+15,1.12564E+16,569319064457562,4.82479E+15,0
6.51442E+15,1.98767E+16,2.12187E+16,867093691991312,3.23596E+15,4.1329E+15,1.49E+16,7.98478E+15,5.20089E+15,0
3.44506E+16,2.07926E+16,334247686784948,8.78215E+15,3.84007E+16,4.41786E+15,1.38059E+15,3.02846E+16,4.1844E+15,0
,1.45768E+16,1.32249E+16,7.90644E+15,3.04002E+15,2.98991E+16,1.27295E+16,4.95368E+16,4.00487E+15,0
,2.66421E+15,2.6363E+16,7.70006E+15,3.95389E+16,3.6448E+16,1.0349E+15,5.30084E+15,3.99156E+16,0
,1.48153E+16,1.51934E+15,904683270725723,3.07012E+16,5.63805E+15,1.65687E+15,5.26762E+15,6.03818E+16,0
7.18145E+15,2.09626E+16,1.51962E+16,5.99468E+15,3.38336E+15,3.42111E+15,792259833302262,715379532557936,5.08886E+15,0
982548990813439,1.90757E+15,1.96779E+16,6.75754E+15,,4.52836E+15,168990378000164,4.7082E+16,2.85747E+15,0
1.04333E+16,1.17791E+16,2.23269E+16,8.1615E+15,3.07708E+16,4.12987E+15,1.28907E+16,6.57335E+15,5.05731E+15,0
7.41415E+15,2.35045E+16,3.25559E+16,6.84595E+16,3.87175E+15,411983364167012,1.02448E+16,4.44893E+15,3.16062E+15,0
,2.3228E+16,1.47872E+16,5.47491E+15,,3.83982E+15,1.21669E+15,8.60807E+15,5.02917E+15,0
5.11582E+15,1.91953E+16,1.96205E+16,6.06071E+15,3.23836E+15,4.41748E+16,1.09665E+15,4.92382E+15,3.90209E+16,0
3.64163E+15,1.83909E+16,2.47521E+16,5.53831E+15,2.8606E+15,4.5686E+15,903406675271333,735946567566564,3.46435E+16,0
5.61806E+15,3.04236E+16,1.7282E+15,6.10108E+15,,3.99472E+16,1.2265E+16,8.1589E+15,2.89655E+16,0
,1.43454E+16,1.99423E+16,589075458310612,,4.27131E+15,2.24699E+15,5.31241E+15,290756391519334,0
9.26719E+15,1.98614E+16,2.46837E+16,6.11061E+15,3.28078E+16,3.96877E+16,1.6472E+16,3.03833E+16,4.324E+15,0
,2.33859E+16,1.17039E+16,4.59939E+15,3.09039E+16,3.494E+15,1.83389E+15,4.26775E+15,3.51E+15,0
5.33194E+15,1.94874E+16,1.66589E+16,7.99383E+15,3.16675E+16,3.3512E+15,1.01805E+16,5.95727E+15,4.43482E+15,0
7.14577E+15,2.3869E+16,2.87803E+16,681402870120907,3.85976E+15,3.32033E+15,1.10932E+16,6.6138E+15,5.18259E+15,0
9.92069E+15,2.02817E+15,9.97393E+15,6.88225E+15,3.37351E+16,3.33192E+16,2.39176E+16,71833623959766,469070723013249,0
4.75844E+15,1.83349E+16,2.15684E+16,4.73135E+15,,4.03944E+15,1.86682E+15,6.69124E+15,4.5428E+15,0
5.70293E+15,2.1685E+16,3.56064E+15,71843510891688,,5.04638E+16,1.61408E+16,7.75362E+15,4.13774E+15,0
6.95386E+15,2.09638E+15,1.05752E+15,4.46271E+15,3.15607E+16,3.91184E+16,1.32853E+15,8.73909E+15,3.19571E+15,0
1.0683E+15,1.73375E+15,1.57587E+16,5.57078E+15,3.07353E+16,3.23808E+15,100908697516698,7.84728E+15,3.99978E+16,0
,1.29891E+16,3.44159E+16,6.32193E+15,3.04535E+15,4.70329E+15,1.85994E+15,7.24036E+15,440558600033858,0
8.75726E+15,2.00191E+16,2.15362E+16,4.9151E+15,3.17883E+16,4.04718E+15,1.37683E+16,4.79309E+16,3.62614E+16,0
,1.68388E+16,2.74923E+15,7.04622E+15,2.9982E+15,3.83795E+16,1.61821E+15,7.57294E+15,3.04806E+16,0
780963189801941,1.00458E+15,1.20136E+16,5.21231E+15,2.47201E+15,6.0522E+15,9.61135E+15,6.60842E+15,2.44744E+15,0
6.65249E+15,1.4501E+15,1.98718E+16,4.96107E+15,2.88052E+15,545974993762403,1.0942E+16,717274140605346,3.74209E+16,0
9.1472E+15,2.11714E+16,1.19206E+16,72307947693374,3.39752E+15,5.27709E+15,1.82753E+15,4.76349E+15,3.79453E+16,0
1.05607E+16,1.81893E+16,2.17837E+16,6.99126E+15,3.4039E+16,4.56556E+15,1.64828E+15,342520490783523,3.96469E+16,0
7.48425E+15,2.60092E+16,3.06166E+16,9.37913E+15,,4.04671E+16,1.59345E+16,666210265451665,4.78119E+15,0
8.52081E+15,2.38335E+16,287796500110336,8.28281E+15,3.81649E+15,4.81319E+15,6.01634E+15,3.90912E+15,3.9406E+16,0
4.99941E+15,1.90287E+16,2.43239E+16,7.23016E+15,3.24893E+15,4.0533E+15,8.23656E+15,9.94274E+15,4.46068E+15,0
,1.57801E+16,1.69636E+16,8.33562E+15,3.00044E+16,3.60996E+16,1.28239E+16,717170050975215,4.40539E+16,0
,1.55056E+16,2.05572E+16,8.18732E+15,,2.90181E+16,1.66223E+16,5.96221E+16,4.08991E+15,0
3.90608E+16,2.33403E+15,3.21448E+16,6.99484E+16,3.48359E+15,2.69449E+15,96541256002684,6.37431E+15,3.90288E+15,0
6.39135E+15,2.13018E+15,2.09655E+16,5.37556E+15,3.27651E+16,3.69338E+15,1.37581E+16,1.79157E+16,392374916929651,0
,2.29486E+16,3.57297E+16,8.81084E+15,3.84944E+16,2.96398E+15,1.69271E+15,,3.8556E+16,0
8.69209E+15,1.95144E+15,2.46562E+16,823190033837729,,3.98345E+15,1.23808E+16,4.84407E+16,4.47796E+15,0
8.08576E+15,1.2774E+16,3.26539E+16,6.53424E+15,,4.1624E+16,1.11197E+16,7.82751E+15,4.06869E+15,0
6.20398E+16,2.12307E+16,2.18151E+15,7.87399E+15,,3.62108E+16,149330126610987,6.38738E+15,5.21569E+15,0
5.05811E+15,2.38569E+16,348739345228707,8.98328E+15,3.74434E+16,669725086180179,1.33532E+16,7.65218E+15,5.10666E+15,0
,1.03465E+16,2.74202E+15,8.41731E+15,,4.85975E+16,1.13511E+16,678699636759021,4.62079E+15,0
,2.11201E+16,1.28305E+16,4.50212E+15,3.26962E+15,3.3333E+15,1.60451E+15,4.98984E+15,3.43974E+16,0
7.26155E+15,1.7989E+16,2.49648E+16,5.83709E+15,3.49269E+16,50118278074341,1.72877E+16,5.0993E+16,3.63636E+15,0
716046723080874,1.83089E+15,6.74335E+15,3.80304E+16,2.77599E+15,4.28036E+15,979962468961304,9.00354E+15,3.88489E+16,0
5.70476E+15,1.16299E+16,3.32236E+15,7.0505E+15,2.97078E+15,5.04379E+16,9.00182E+15,481470312534892,4.15753E+15,0
621727313516034,1.30944E+16,1.94604E+15,7.09246E+16,3.00131E+16,5.56654E+15,1.40836E+16,5.78971E+16,5.32583E+15,0
8.67993E+15,2.42229E+16,2.29841E+15,7.51876E+16,,3.52943E+16,1.87044E+16,6.99079E+15,3.87347E+15,0
,2.19301E+16,1.48595E+15,5.59833E+15,3.44442E+15,4.25214E+16,1.57718E+16,4.9352E+16,4.65592E+15,0
6.89732E+15,2.1136E+16,2.56508E+16,6.76601E+15,,3.83014E+15,1.39348E+15,9.05233E+15,5.02278E+15,0
3.51455E+15,1.58732E+16,2.30297E+16,6.82168E+15,2.86523E+15,3.07379E+15,971223191091832,7.98509E+15,3.76262E+15,0
372250048593372,1.6364E+16,3.79622E+15,6.68457E+16,3.26694E+16,4.67563E+15,1.45673E+16,5.0578E+15,3.66284E+16,0
6.455E+15,1.76684E+16,2.4468E+16,5.75693E+15,3.148E+16,4.77581E+16,1.62455E+16,5.77297E+15,2.29343E+16,0
7.3168E+15,2.17523E+15,3.19034E+16,9.86505E+15,3.76938E+16,4.25913E+15,8.99275E+15,6.95092E+15,3.50837E+15,0
1.84454E+15,2.33764E+15,2.86896E+16,7.72443E+15,,4.10387E+16,1.56119E+16,5.42994E+15,5.01346E+15,0
5.51913E+15,1.68729E+16,1.25316E+15,773072294792503,,4.4357E+15,1.80991E+16,,3.759E+15,0
7.40899E+15,2.04962E+16,9.56612E+15,6.50592E+15,3.11453E+15,5.04146E+16,1.15321E+16,8.11069E+15,3.77242E+15,0
5.97677E+15,2.58953E+15,2.7268E+16,7.6486E+15,3.83657E+15,514118920118766,1.22568E+16,8.24698E+15,2.99467E+16,0
6.39536E+15,1.33834E+15,2.38273E+16,51277468613272,2.66908E+15,5.734E+15,9.83387E+15,9.50266E+15,4.19122E+15,0
6.20964E+15,1.95418E+16,1.31167E+16,7.87935E+15,,4.17242E+16,7.50766E+15,7.05474E+15,3.61252E+16,0
6.76283E+15,2.32075E+15,2.71594E+16,7.88499E+15,3.50445E+15,4.65414E+15,1.3864E+16,6.48123E+15,4.91658E+15,0
991871706385417,1.99181E+16,2.14703E+16,6.79984E+15,3.29178E+16,4.30508E+15,1.5966E+16,5.92923E+15,3.38551E+15,0
1.01554E+15,3.00292E+16,1.26524E+16,6.65513E+15,3.98648E+16,4.87459E+16,9.34763E+15,679197886870381,5.00247E+15,0
